season,date,playoff,neutral,status,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,commissioners_cup_final
1997,1997-08-13,0,0,post,Phoenix Mercury,Cleveland Rockers,PHO,CLE,1517.31039315028,1532.73097783314,0.591881530204615,0.408118469795385,61,55,1525.71273236501,1524.32863861842,0
1997,1997-08-14,0,0,post,New York Liberty,Sacramento Monarchs,NYL,SAC,1514.95063140051,1413.49698478576,0.739723348701121,0.260276651298879,79,63,1523.89742839064,1404.55018779563,0
1997,1997-08-15,0,0,post,Charlotte Sting,Houston Comets,CHA,HOU,1520.96036387639,1621.94948836254,0.469830914108224,0.530169085891776,80,71,1535.65674656394,1607.25310567498,0
1997,1997-08-15,0,0,post,Las Vegas Aces,Los Angeles Sparks,LVA,LAS,1361.23348095436,1517.36767963703,0.392154777856249,0.60784522214375,64,74,1350.49280785855,1528.10835273283,0
1997,1997-08-16,0,0,post,Phoenix Mercury,Las Vegas Aces,PHO,LVA,1525.71273236501,1350.49280785855,0.812930282462072,0.187069717537928,71,63,1529.66207179443,1346.54346842913,0
1997,1997-08-16,0,0,post,Cleveland Rockers,Charlotte Sting,CLE,CHA,1524.32863861842,1535.65674656394,0.597559641111889,0.402440358888111,81,49,1548.80946054826,1511.17592463409,0
1997,1997-08-16,0,0,post,New York Liberty,Houston Comets,NYL,HOU,1523.89742839064,1607.25310567498,0.495170942351212,0.504829057648787,55,70,1505.2806039233,1625.86993014232,0
1997,1997-08-17,0,0,post,Los Angeles Sparks,Phoenix Mercury,LAS,PHO,1528.10835273283,1529.66207179443,0.61101318567728,0.38898681432272,75,66,1538.08403620531,1519.68638832195,0
1997,1997-08-18,0,0,post,Las Vegas Aces,New York Liberty,LVA,NYL,1346.54346842913,1505.2806039233,0.388588948884087,0.611411051115913,81,75,1360.67143630613,1491.1526360463,0
1997,1997-08-18,0,0,post,Houston Comets,Charlotte Sting,HOU,CHA,1625.86993014232,1511.17592463409,0.754127582322415,0.245872417677585,77,69,1631.27815661944,1505.76769815697,0
1997,1997-08-19,0,0,post,Los Angeles Sparks,New York Liberty,LAS,NYL,1538.08403620531,1491.1526360463,0.674953571083885,0.325046428916115,78,76,1542.07626919967,1487.16040305194,0
1997,1997-08-19,0,0,post,Sacramento Monarchs,Phoenix Mercury,SAC,PHO,1404.55018779563,1519.68638832195,0.449606621823604,0.550393378176396,54,69,1388.06445233183,1536.17212378575,0
1997,1997-08-20,0,0,post,Las Vegas Aces,Charlotte Sting,LVA,CHA,1360.67143630613,1505.76769815697,0.407399982129286,0.592600017870714,56,66,1349.41956062479,1517.01957383831,0
1997,1997-08-20,0,0,post,Houston Comets,Cleveland Rockers,HOU,CLE,1631.27815661944,1548.80946054826,0.718138168501317,0.281861831498683,75,76,1621.93656199958,1558.15105516813,0
1997,1997-08-21,0,0,post,Los Angeles Sparks,Sacramento Monarchs,LAS,SAC,1542.07626919967,1388.06445233183,0.793651883499066,0.206348116500934,88,77,1547.43512856018,1382.70559297133,0
1997,1997-08-21,0,0,post,Phoenix Mercury,Charlotte Sting,PHO,CHA,1536.17212378575,1517.01957383831,0.638940358698593,0.361059641301407,78,63,1548.7829247958,1504.40877282826,0
1997,1997-08-22,0,0,post,Cleveland Rockers,New York Liberty,CLE,NYL,1558.15105516813,1487.16040305194,0.704573392094173,0.295426607905827,72,71,1561.13416431955,1484.17729390052,0
1997,1997-08-23,0,0,post,Houston Comets,Sacramento Monarchs,HOU,SAC,1621.93656199958,1382.70559297133,0.862669494589448,0.137330505410552,58,68,1588.27269681012,1416.36945816078,0
1997,1997-08-23,0,0,post,Phoenix Mercury,Los Angeles Sparks,PHO,LAS,1548.7829247958,1547.43512856018,0.614975522828556,0.385024477171444,73,68,1555.90613214871,1540.31192120727,0
1997,1997-08-23,0,0,post,New York Liberty,Cleveland Rockers,NYL,CLE,1484.17729390052,1561.13416431955,0.504379303517133,0.495620696482867,79,72,1495.82365348692,1549.48780473314,0
1997,1997-08-23,0,0,post,Charlotte Sting,Las Vegas Aces,CHA,LVA,1504.40877282826,1349.41956062479,0.79457177886961,0.20542822113039,70,52,1511.78304263776,1342.0452908153,0
1997,1997-08-27,1,0,post,Phoenix Mercury,New York Liberty,PHO,NYL,1555.90613214871,1495.82365348692,0.732623560722023,0.267376439277977,41,59,1519.57354810023,1532.15623753539,0
1997,1997-08-27,1,0,post,Houston Comets,Charlotte Sting,HOU,CHA,1588.27269681012,1511.78304263776,0.755106167343286,0.244893832656714,70,54,1596.60827529147,1503.44746415641,0
1997,1997-08-29,1,0,post,Houston Comets,New York Liberty,HOU,NYL,1596.60827529147,1532.15623753539,0.738737300411964,0.261262699588036,65,51,1604.82948484642,1523.93502798045,0
1998,1998-06-10,0,0,post,Charlotte Sting,Washington Mystics,CHA,WAS,1501.7237320782,1300.0,0.835033877957169,0.164966122042831,83,57,1509.15631055404,1292.56742152416,0
1998,1998-06-10,0,0,post,Las Vegas Aces,Los Angeles Sparks,LVA,LAS,1421.02264540765,1520.15596060364,0.472492747646214,0.527507252353786,83,89,1410.94663306724,1530.23197294405,0
1998,1998-06-10,0,0,post,Sacramento Monarchs,Phoenix Mercury,SAC,PHO,1458.18472908039,1509.78677405012,0.540777175433137,0.459222824566863,70,73,1449.52276490399,1518.44873822652,0
1998,1998-06-10,0,0,post,Cleveland Rockers,New York Liberty,CLE,NYL,1524.74390236657,1511.96751399022,0.630430434182651,0.369569565817349,78,71,1532.84789961224,1503.86351674456,0
1998,1998-06-12,0,0,post,Las Vegas Aces,Washington Mystics,LVA,WAS,1410.94663306724,1292.56742152416,0.758039781128112,0.241960218871888,78,77,1413.30992003408,1290.20413455732,0
1998,1998-06-12,0,0,post,Dallas Wings,Charlotte Sting,DAL,CHA,1300.0,1509.15631055404,0.322242870908859,0.677757129091141,69,78,1292.03984352387,1517.11646703018,0
1998,1998-06-12,0,0,post,Houston Comets,New York Liberty,HOU,NYL,1552.41474242321,1503.86351674456,0.676995930550953,0.323004069449047,73,62,1561.44487849771,1494.83338067006,0
1998,1998-06-13,0,0,post,Phoenix Mercury,Los Angeles Sparks,PHO,LAS,1518.44873822652,1530.23197294405,0.596929436414009,0.403070563585991,70,60,1529.55468824531,1519.12602292526,0
1998,1998-06-14,0,0,post,Las Vegas Aces,New York Liberty,LVA,NYL,1413.30992003408,1494.83338067006,0.497807577957436,0.502192422042564,71,60,1428.81232146951,1479.33097923463,0
1998,1998-06-14,0,0,post,Phoenix Mercury,Washington Mystics,PHO,WAS,1529.55468824531,1290.20413455732,0.862751027735601,0.137248972264399,69,54,1533.67579553498,1286.08302726765,0
1998,1998-06-14,0,0,post,Dallas Wings,Cleveland Rockers,DAL,CLE,1292.03984352387,1532.84789961224,0.283800835568655,0.716199164431345,85,96,1284.28710836417,1540.60063477193,0
1998,1998-06-14,0,0,post,Charlotte Sting,Houston Comets,CHA,HOU,1517.11646703018,1561.44487849771,0.551155917852904,0.448844082147096,65,79,1496.68477956903,1581.87656595886,0
